"","X","res_n_3.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"134",596,596,"1.349816738",22.37776651,-1.631326249,0.633226104,-2.576214466,0.009988867,0.044388991,1.352724723,"Not Sig","Unchanged","4931408C20Rik","Promoter"
"135",597,597,"1.004990319",10.11556905,-0.357363851,0.851798633,-0.419540297,0.674821311,NA,NA,"Not Sig","Unchanged","4931408C20Rik","Promoter"
"136",598,598,"2.030782289",107.3451159,-0.921094393,0.418323678,-2.201870085,0.027674487,0.09373027,1.02812013,"Not Sig","Unchanged","4931408C20Rik","Promoter"
"3220",13204,13204,"1.714002937",51.76103328,-1.256822842,0.529236092,-2.374786718,0.017559093,0.067220751,1.172496637,"Not Sig","Unchanged","Cfap54","Promoter"
"3221",13210,13210,"1.510684968",32.41044309,0.634212773,0.484193986,1.309831992,0.190252678,0.362910781,0.44020013,"Not Sig","Unchanged","Cfap54","Promoter"
"3222",13211,13211,"2.728748747",535.4867715,0.392423006,0.446086221,0.879702145,0.379020687,0.569548496,0.24446929,"Not Sig","Unchanged","Cfap54","Promoter"
"3223",13212,13212,"1.662470883",45.96961671,-0.776131986,0.461832005,-1.680550454,0.092850266,0.222244647,0.653168691,"Not Sig","Unchanged","Cfap54","Promoter"
"3649",14977,14977,"2.09719951",125.0833518,0.129257078,0.38712537,0.333889452,0.738462979,0.84996587,0.070598513,"Not Sig","Unchanged","Sfi1","Promoter"
"3650",14978,14978,"2.439666625",275.2115303,0.173355697,0.383067467,0.452546123,0.650875602,0.790688959,0.101994326,"Not Sig","Unchanged","Sfi1","Promoter"
"3651",14979,14979,"2.453863649",284.3568199,0.41759957,0.350262281,1.192248189,0.233163943,0.415329759,0.38160695,"Not Sig","Unchanged","Sfi1","Promoter"
"3652",14980,14980,"2.138318521",137.5050096,0.454674987,0.401879781,1.131370645,0.257899121,0.443791651,0.352820873,"Not Sig","Unchanged","Sfi1","Promoter"
"3653",14981,14981,"2.163630162",145.7572487,0.813018783,0.406450578,2.000289401,0.045469023,0.133956964,0.873034704,"Not Sig","Unchanged","Sfi1","Promoter"
"3654",14982,14982,"1.811704104",64.81926527,0.584849416,0.404975811,1.444158887,0.148694287,0.307204566,0.512572334,"Not Sig","Unchanged","Sfi1","Promoter"
"3655",14987,14987,"2.172413211",148.7350115,0.220773077,0.363607261,0.607174556,0.543735076,0.710692845,0.148318057,"Not Sig","Unchanged","Sfi1","Promoter"
"3656",14988,14988,"2.309555688",203.9650181,-0.03845553,0.37534803,-0.102452995,0.918397121,0.956945517,0.019112788,"Not Sig","Unchanged","Sfi1","Promoter"
"3657",14989,14989,"1.356928951",22.74725264,-0.214483663,0.648828672,-0.330570569,0.74096888,0.851549591,0.069790056,"Not Sig","Unchanged","Sfi1","Promoter"
"3658",14990,14990,"2.537965976",345.116701,0.254041065,0.439095476,0.578555414,0.562889197,0.725376596,0.139436461,"Not Sig","Unchanged","Sfi1","Promoter"
"3659",14991,14991,"1.979713508",95.43628119,0.576039949,0.537636288,1.07143056,0.283975878,0.472823226,0.325301199,"Not Sig","Unchanged","Sfi1","Promoter"
"3660",14992,14992,"2.065117566",116.1763068,-0.147770344,0.385952631,-0.38287171,0.701814888,0.825370154,0.08335124,"Not Sig","Unchanged","Sfi1","Promoter"
"3661",14993,14993,"2.3218326",209.8130998,-0.206145378,0.315195366,-0.654024139,0.513096254,0.686375966,0.163437932,"Not Sig","Unchanged","Sfi1","Promoter"
"3662",14994,14994,"2.573503339",374.5444264,0.075149971,0.300573466,0.250021972,0.802570357,0.890348473,0.050439982,"Not Sig","Unchanged","Sfi1","Promoter"
"3663",14995,14995,"1.916625081",82.5325153,0.260193023,0.408014853,0.637704782,0.523665872,0.694944349,0.158049972,"Not Sig","Unchanged","Sfi1","Promoter"
"3664",14996,14996,"2.236481147",172.3777259,-0.430745678,0.434393481,-0.991602538,0.321391451,0.512061258,0.290678081,"Not Sig","Unchanged","Sfi1","Promoter"
"15457",61267,61267,"0.813981892",6.516012256,0.671152536,1.077974276,0.622605336,0.533543904,NA,NA,"Not Sig","Unchanged","1110059E24Rik","Promoter"
"15458",61268,61268,"1.60717355",40.47375977,-0.692693103,0.545188495,-1.27055708,0.203886264,0.380316652,0.419854658,"Not Sig","Unchanged","1110059E24Rik","Promoter"
"15459",61269,61269,"3.287859091",1940.256252,1.259234164,0.46021643,2.736178202,0.006215736,0.031331978,1.504012186,"Not Sig","Unchanged","1110059E24Rik","Promoter"
"19555",77025,77025,"3.003791906",1008.769415,0.803693752,0.41682086,1.928151464,0.053836289,0.151227656,0.82036878,"Not Sig","Unchanged","Arnt","Promoter"
"20133",79383,79383,"2.822486264",664.4866553,0.499957247,0.802115821,0.623298074,0.533088663,0.702205295,0.1535359,"Not Sig","Unchanged","Spata1","Promoter"
"20339",80555,80555,"3.096667603",1249.302484,1.147995087,0.659222719,1.741437383,0.08160694,0.202865051,0.692792766,"Not Sig","Unchanged","Map3k7","Promoter"
"21147",84185,84185,"2.743510273",554.0006479,0.209055006,0.373688447,0.559436632,0.575863767,0.735446823,0.133448723,"Not Sig","Unchanged","Nsun4","Promoter"
"22121",87621,87621,"1.429585415",26.88966643,-0.422768857,0.512349254,-0.825157553,0.409282148,0.597303596,0.223804871,"Not Sig","Unchanged","Zfp984","Promoter"
"23054",91103,91103,"2.186891529",153.7770512,0.850355035,0.525955952,1.616779946,0.10592579,0.24344726,0.613595109,"Not Sig","Unchanged","Slc34a2","Promoter"
"28573",111335,111335,"1.157196071",14.3613766,0.234032124,0.759957804,0.307954104,0.758117256,NA,NA,"Not Sig","Unchanged","Xpo6","Promoter"
"28574",111336,111336,"1.279698408",19.04137948,0.74467349,0.697356918,1.067851299,0.285587594,0.474547519,0.323720293,"Not Sig","Unchanged","Xpo6","Promoter"
"28575",111338,111338,"3.176625519",1501.846405,1.523844569,0.518793536,2.937285187,0.003310995,0.019800198,1.70333047,"Not Sig","Unchanged","Xpo6","Promoter"
"29338",114003,114003,"3.14211707",1387.129699,1.14610473,0.528864331,2.167105365,0.030226821,0.099948992,1.000221583,"Not Sig","Unchanged","2610005L07Rik","Promoter"
"33816",130759,130759,"1.729123284",53.59487763,-0.865494623,0.536611544,-1.612888563,0.10676872,0.269392611,0.569614321,"Not Sig","Unchanged","4931408C20Rik","Promoter"
"33817",130760,130760,"2.125269045",133.4347802,-0.746269536,0.409865531,-1.820766761,0.068642319,0.201553315,0.695610055,"Not Sig","Unchanged","4931408C20Rik","Promoter"
"33818",130761,130761,"1.226421371",16.84307455,-0.658552369,0.611055514,-1.077729197,0.281154625,NA,NA,"Not Sig","Unchanged","4931408C20Rik","Promoter"
"37548",149641,149641,"1.728110015",53.46997923,-1.24002417,0.523420546,-2.369078134,0.017832486,0.080051387,1.09663114,"Not Sig","Unchanged","Cfap54","Promoter"
"37549",149655,149655,"1.777120741",59.85779863,0.509510043,0.438274518,1.162536313,0.245017683,0.456857863,0.340218896,"Not Sig","Unchanged","Cfap54","Promoter"
"37550",149657,149657,"2.739932467",549.455426,0.466307923,0.457572576,1.019090625,0.308159945,0.524839001,0.2799739,"Not Sig","Unchanged","Cfap54","Promoter"
"37551",149658,149658,"1.900152781",79.46077208,-0.504205093,0.428364821,-1.177045985,0.239177152,0.450326333,0.346472657,"Not Sig","Unchanged","Cfap54","Promoter"
"38056",152326,152326,"2.180148664",151.4079447,0.533571987,0.353793794,1.508143999,0.131517676,0.308802528,0.510319153,"Not Sig","Unchanged","Sfi1","Promoter"
"38057",152327,152327,"2.329209855",213.4075871,0.48833355,0.370976767,1.316345369,0.18805815,0.387795014,0.41139778,"Not Sig","Unchanged","Sfi1","Promoter"
"38058",152328,152328,"2.738025163",547.0476575,0.322383673,0.387589308,0.831766168,0.405540944,0.61765852,0.209251563,"Not Sig","Unchanged","Sfi1","Promoter"
"38059",152329,152329,"2.301343377",200.1443696,0.277479115,0.387732002,0.715646666,0.474209551,0.675698315,0.170247164,"Not Sig","Unchanged","Sfi1","Promoter"
"38060",152330,152330,"2.572889912",374.0157682,0.309121067,0.355423861,0.869725138,0.384450631,0.598260381,0.223109757,"Not Sig","Unchanged","Sfi1","Promoter"
"38061",152331,152331,"2.569468312",371.0806532,0.423938349,0.347375698,1.220403014,0.222312135,0.430471253,0.366055845,"Not Sig","Unchanged","Sfi1","Promoter"
"38062",152332,152332,"2.397222781",249.5874711,0.378431906,0.384855616,0.983308779,0.325455491,0.542097992,0.265922202,"Not Sig","Unchanged","Sfi1","Promoter"
"38063",152333,152333,"2.478668381",301.070623,0.571445771,0.380575208,1.501531783,0.133218072,0.311243443,0.506899789,"Not Sig","Unchanged","Sfi1","Promoter"
"38064",152334,152334,"2.366500498",232.5415154,0.638854437,0.384863311,1.659951518,0.096924206,0.252999286,0.596880704,"Not Sig","Unchanged","Sfi1","Promoter"
"38065",152335,152335,"1.84358792",69.75702007,0.667317253,0.418782862,1.59346839,0.111055154,0.276494825,0.558312993,"Not Sig","Unchanged","Sfi1","Promoter"
"38066",152341,152341,"2.627403551",424.0368025,0.150583442,0.327037687,0.460446755,0.645195581,0.802262666,0.095683418,"Not Sig","Unchanged","Sfi1","Promoter"
"38067",152342,152342,"2.193025337",155.964349,0.194019954,0.41994546,0.462012267,0.644072524,0.801570227,0.096058422,"Not Sig","Unchanged","Sfi1","Promoter"
"38068",152343,152343,"2.245142823",175.8501822,0.340759216,0.395280829,0.862068663,0.388649734,0.602194297,0.220263361,"Not Sig","Unchanged","Sfi1","Promoter"
"38069",152344,152344,"2.537157583",344.4749004,0.128730251,0.370788213,0.347179998,0.728456096,0.855482184,0.067789031,"Not Sig","Unchanged","Sfi1","Promoter"
"38070",152345,152345,"1.930381808",85.18866418,0.305357833,0.470375126,0.649179381,0.516222437,0.709470616,0.149065587,"Not Sig","Unchanged","Sfi1","Promoter"
"38071",152346,152346,"1.559009947",36.22512949,0.608686161,0.539548823,1.12813917,0.259261149,0.473000173,0.3251387,"Not Sig","Unchanged","Sfi1","Promoter"
"38072",152347,152347,"2.587223218",386.5656126,0.335219317,0.422983297,0.792511948,0.428062228,0.63719943,0.195724622,"Not Sig","Unchanged","Sfi1","Promoter"
"38073",152348,152348,"2.077653931",119.5787284,0.677392884,0.529977901,1.278153075,0.201195458,0.404276907,0.393321065,"Not Sig","Unchanged","Sfi1","Promoter"
"38074",152349,152349,"1.815612504",65.40523408,-0.426760399,0.423797941,-1.006990262,0.313939454,0.530287951,0.27548824,"Not Sig","Unchanged","Sfi1","Promoter"
"38075",152350,152350,"2.145420485",139.7720982,-0.132294377,0.402784881,-0.328449213,0.742572038,0.863783217,0.063595238,"Not Sig","Unchanged","Sfi1","Promoter"
"38076",152351,152351,"2.525869443",335.6367008,-0.222364326,0.319982892,-0.694925669,0.487101885,0.686169934,0.163568315,"Not Sig","Unchanged","Sfi1","Promoter"
"38077",152352,152352,"2.622560725",419.3346261,0.142690276,0.320812772,0.444777418,0.656480615,0.80981112,0.091616264,"Not Sig","Unchanged","Sfi1","Promoter"
"38078",152353,152353,"2.188413254",154.3168159,0.180014806,0.426436685,0.422137241,0.672924847,0.820461191,0.085941957,"Not Sig","Unchanged","Sfi1","Promoter"
"38079",152354,152354,"2.338447777",217.9956248,-0.342118345,0.449203478,-0.761611076,0.446292162,0.652468277,0.185440599,"Not Sig","Unchanged","Sfi1","Promoter"
"52378",220801,220801,"1.084443877",12.14629646,-0.406371624,0.937979663,-0.433241402,0.664839404,NA,NA,"Not Sig","Unchanged","1110059E24Rik","Promoter"
"52379",220802,220802,"1.643077891",43.96204546,-0.606243659,0.554757434,-1.092808535,0.274477874,0.489574051,0.31018161,"Not Sig","Unchanged","1110059E24Rik","Promoter"
"52380",220804,220804,"3.297045597",1981.735077,1.356841963,0.471666566,2.876697355,0.004018608,0.027823,1.55559604,"Not Sig","Unchanged","1110059E24Rik","Promoter"
"57311",244031,244031,"3.017658919",1041.499148,0.882675627,0.432476685,2.040978526,0.041252962,0.143054683,0.844497921,"Not Sig","Unchanged","Arnt","Promoter"
"57312",244033,244033,"0.949942596",8.911331429,0.835582904,0.845729308,0.988002776,0.323151289,NA,NA,"Not Sig","Unchanged","Arnt","Promoter"
"57996",247563,247563,"1.229692718",16.97042498,1.022978532,0.753067441,1.358415563,0.174331859,NA,NA,"Not Sig","Unchanged","Spata1","Promoter"
"57997",247564,247564,"2.847406841",703.731257,0.608300094,0.770261744,0.78973167,0.429684492,0.638622759,0.194755608,"Not Sig","Unchanged","Spata1","Promoter"
"58235",249397,249397,"3.113900672",1299.87225,1.253177355,0.645685114,1.940849072,0.052276587,0.167948395,0.774824141,"Not Sig","Unchanged","Map3k7","Promoter"
"59218",254920,254920,"2.755077525",568.9544853,0.283929376,0.388472328,0.730887002,0.464848176,0.668040055,0.175197497,"Not Sig","Unchanged","Nsun4","Promoter"
"60409",259761,259761,"1.318155112",20.80439602,-0.168660146,0.582349963,-0.289619914,0.77210703,0.881106293,0.054971697,"Not Sig","Unchanged","Zfp984","Promoter"
"60410",259762,259762,"1.499962478",31.62004455,-0.519165029,0.523812969,-0.99112672,0.321623707,0.538197573,0.269058265,"Not Sig","Unchanged","Zfp984","Promoter"
"61515",264824,264824,"1.479765798",30.18323592,0.920120094,0.549399983,1.674772701,0.093978837,0.247871356,0.605773657,"Not Sig","Unchanged","Slc34a2","Promoter"
"61516",264825,264825,"2.282257431",191.5390951,0.873347298,0.494343683,1.766680404,0.077281767,0.217996263,0.661550952,"Not Sig","Unchanged","Slc34a2","Promoter"
"68237",294721,294721,"1.54788",35.30857,0.07616123,0.591109,0.1288447,0.8974806,0.950104,0.02222887,"Not Sig","Unchanged","Xpo6","Promoter"
"68238",294722,294722,"1.388654",24.47115,0.270415,0.5405685,0.5002418,0.6169048,0.7827221,0.1063924,"Not Sig","Unchanged","Xpo6","Promoter"
"68239",294723,294723,"1.511809",32.49445,1.12585,0.5712336,1.970911,0.04873411,0.1602611,0.795172,"Not Sig","Unchanged","Xpo6","Promoter"
"68240",294726,294726,"0.9886741",9.742582,0.4668352,0.8322281,0.5609462,0.5748342,NA,NA,"Not Sig","Unchanged","Xpo6","Promoter"
"68241",294727,294727,"0.9165143",8.251147,0.8745007,1.088997,0.8030329,0.4219557,NA,NA,"Not Sig","Unchanged","Xpo6","Promoter"
"68242",294728,294728,"3.189991",1548.785,1.620978,0.5219811,3.105434,0.001899999,0.01640499,1.785024,"Not Sig","Unchanged","Xpo6","Promoter"
"69185",298640,298640,"3.152491",1420.663,1.246821,0.531957,2.343838,0.01908646,0.08394447,1.076008,"Not Sig","Unchanged","2610005L07Rik","Promoter"
